Address,total_income
20013397217,157440000.0
20013397220,27300000.0
20013397223,85920000.0
20013397310,171200000.0
20013397314,363120000.0
20013397317,126160000.0
20013397320,295720000.0
20013397323,10920000.0
20013397408,167280000.0
20013397412,36840000.0
20013397414,106340000.0
20013397417,54220000.0
20013397420,21840000.0
20013397423,29460000.0
20013397509,86920000.0
20013397511,40460000.0
20013397514,239380000.0
20013397515,336480000.0
20013397520,356820000.0
20013397523,23440000.0
20013397607,303300000.0
20013397608,370900000.0
20013397615,33840000.0
20013397617,43320000.0
20013397620,57300000.0
20013397623,299880000.0
20013397709,19460000.0
20013397710,144070000.0
20013397716,41920000.0
20013397718,94520000.0
20013397720,54560000.0
20013397723,96000000.0
20013397807,27460000.0
20013397808,16380000.0
20013397814,76840000.0
20013397817,37160000.0
20013397820,252550000.0
20013397823,35320000.0
20013397908,26460000.0
20013397911,95800000.0
20013397913,58460000.0
20013397917,22460000.0
20013397920,101840000.0
20013397923,479380000.0
20013398008,11950000.0
20013398011,68910000.0
20013398016,335950000.0
20013398017,171840000.0
20013398020,46950000.0
20013398023,106450000.0
20101398110,21840000.0
20101398111,74380000.0
20101398114,56220000.0
20101398117,12220000.0
20101398120,58380000.0
20101398123,59840000.0
20101398208,38580000.0
20101398209,25280000.0
20101398217,156880000.0
20101398218,43980000.0
20101398220,12980000.0
20101398223,22560000.0
20101398310,279920000.0
20101398311,98380000.0
20101398317,30920000.0
20101398318,83880000.0
20101398320,83230000.0
20101398323,23840000.0
20102398407,21480000.0
20102398408,12440000.0
20102398414,65280000.0
20102398417,96440000.0
20102398420,43380000.0
20102398423,151920000.0
20102398508,164590000.0
20102398510,219610000.0
20102398516,121200000.0
20102398517,91720000.0
20102398520,22810000.0
20102398523,18960000.0
20102398607,183020000.0
20102398609,9100000.0
20102398614,96110000.0
20102398617,234010000.0
20102398620,5460000.0
20102398623,62980000.0
20102398808,11360000.0
20102398811,82080000.0
20102398813,248920000.0
20102398814,239720000.0
20102398820,60920000.0
20102398823,20920000.0
20103398909,10920000.0
20103398911,61920000.0
20103398914,32840000.0
20103398917,296920000.0
20103398920,26840000.0
20103398923,755840000.0
20103399008,234560000.0
20103399010,201460000.0
20103399014,214320000.0
20103399018,75560000.0
20103399020,196010000.0
20103399023,243760000.0
20103399112,814920000.0
20103399117,12200000.0
20103399120,92720000.0
20104399207,24740000.0
20104399208,258010000.0
20104399214,27380000.0
20104399217,34284000.0
20104399220,10920000.0
20104399223,207230000.0
20104399308,141380000.0
20104399311,46840000.0
20104399317,17180000.0
20104399318,50330000.0
20104399320,295290000.0
20104399323,34460000.0
20104399408,16380000.0
20104399411,42860000.0
20104399414,59460000.0
20104399417,68920000.0
20104399420,139340000.0
20104399423,41220000.0
20104399508,19140000.0
20104399511,104580000.0
20104399514,92040000.0
20104399517,61540000.0
20104399520,34560000.0
20104399523,234460000.0
20104399607,146240000.0
20104399608,20380000.0
20104399614,49320000.0
20104399617,185680000.0
20104399620,35840000.0
20104399623,47130000.0
20104399808,200380000.0
20104399811,34840000.0
20104399814,27300000.0
20104399817,17380000.0
20104399820,139540000.0
20104399823,65920000.0
20105399907,257750000.0
20105399909,371360000.0
20105399915,336960000.0
20105399917,615930000.0
20105399920,197410000.0
20105399923,26010000.0
20105400010,88930000.0
20105400011,129460000.0
20105400014,101370000.0
20105400015,408010000.0
20105400020,29200000.0
20105400023,248520000.0
20105400108,89440000.0
20105400109,133180000.0
20105400114,368380000.0
20105400117,406590000.0
20105400120,91170000.0
20105400123,20460000.0
20105400208,566520000.0
20105400211,172720000.0
20105400213,244220000.0
20105400217,152380000.0
20105400220,310440000.0
20105400223,1000000.0
20105400309,185760000.0
20105400310,69920000.0
20105400314,257910000.0
20105400317,154760000.0
20105400320,661720000.0
20105400323,70950000.0
20105400517,155500000.0
20105400518,38910000.0
20105400520,937340000.0
20105400611,92620000.0
20105400612,167100000.0
20105400613,112421000.0
20105400617,186880000.0
20105400620,17380000.0
20105400623,690700000.0
20105400708,389820000.0
20105400712,314740000.0
20105400717,198020000.0
20105400718,13920000.0
20105400720,79080000.0
20105400723,254920000.0
20105400808,360480000.0
20105400809,18920000.0
20105400813,316020000.0
20105400816,478080000.0
20105400820,122120000.0
20105400823,586500000.0
20106400908,209280000.0
20106400911,355630000.0
20106400914,20980000.0
20106400916,37980000.0
20106400920,13760000.0
20106400923,34560000.0
20106401010,203920000.0
20106401011,124000000.0
20106401014,23710000.0
20106401017,90430000.0
20106401020,22260000.0
20106401023,24640000.0
20106401108,54340000.0
20106401111,220110000.0
20106401114,222160000.0
20106401118,51990000.0
20106401120,26320000.0
20106401123,94380000.0
20106401209,350140000.0
20106401211,104060000.0
20106401215,185460000.0
20106401217,172080000.0
20106401220,171950000.0
20106401223,228360000.0
20107401308,54980000.0
20107401311,43520000.0
20107401314,157940000.0
20107401317,133140000.0
20107401320,179140000.0
20107401323,83560000.0
20107401508,547840000.0
20107401511,17720000.0
20107401514,40220000.0
20107401517,116790000.0
20107401520,240980000.0
20107401523,65920000.0
20107401609,5460000.0
20107401611,451565000.0
20107401614,44460000.0
20107401617,171380000.0
20107401620,83380000.0
20107401623,249260000.0
20107401710,520010000.0
20107401712,37610000.0
20107401717,202560000.0
20107401718,189000000.0
20107401720,23560000.0
20107401723,184810000.0
20107401808,66840000.0
20107401812,367490000.0
20107401814,284520000.0
20107401816,434190000.0
20107401820,220530000.0
20107401823,542010000.0
20108401908,214780000.0
20108401911,96630000.0
20108401913,183690000.0
20108401917,254380000.0
20108401920,35220000.0
20108401923,204520000.0
20108402008,211040000.0
20108402012,392940000.0
20108402013,21460000.0
20108402018,80390000.0
20108402020,169000000.0
20108402023,275220000.0
20108402108,155920000.0
20108402111,255180000.0
20108402114,53960000.0
20108402118,93960000.0
